community_id,node_label,preferredName,queryItem,stringId
1,MAD1,MAD1,MAD1,4932.YGL086W
1,MAD2,MAD2,MAD2,4932.YJL030W
1,MAD3,MAD3,MAD3,4932.YJL013C
1,MAM1,MAM1,MAM1,4932.YER106W
1,MBP1,MBP1,MBP1,4932.YDL056W
1,MCD1,MCD1,MCD1,4932.YDL003W
1,MCM1,MCM1,MCM1,4932.YMR043W
1,MCM16,MCM16,MCM16,4932.YPR046W
1,MCM2,MCM2,MCM2,4932.YBL023C
1,MCM21,MCM21,MCM21,4932.YDR318W
1,MCM22,MCM22,MCM22,4932.YJR135C
1,MCM3,MCM3,MCM3,4932.YEL032W
1,MCM4,MCM4,MCM4,4932.YPR019W
1,MCM5,MCM5,MCM5,4932.YLR274W
1,MCM6,MCM6,MCM6,4932.YGL201C
1,MCM7,MCM7,MCM7,4932.YBR202W
1,MEC3,MEC3,MEC3,4932.YLR288C
1,MED1,MED1,MED1,4932.YPR070W
1,MED11,MED11,MED11,4932.YMR112C
1,MED2,MED2,MED2,4932.YDL005C
1,MED4,MED4,MED4,4932.YOR174W
1,MED6,MED6,MED6,4932.YHR058C
1,MED7,MED7,MED7,4932.YOL135C
1,MED8,MED8,MED8,4932.YBR193C
1,MEI5,MEI5,MEI5,4932.YPL121C
1,MET28,MET28,MET28,4932.YIR017C
1,MET31,MET31,MET31,4932.YPL038W
1,MET32,MET32,MET32,4932.YDR253C
1,MET4,MET4,MET4,4932.YNL103W
1,MLH1,MLH1,MLH1,4932.YMR167W
1,MLH2,MLH2,MLH2,4932.YLR035C
1,MLH3,MLH3,MLH3,4932.YPL164C
1,MMS2,MMS2,MMS2,4932.YGL087C
1,MMS21,MMS21,MMS21,4932.YEL019C
1,MMS4,MMS4,MMS4,4932.YBR098W
1,MND1,MND1,MND1,4932.YGL183C
1,MND2,MND2,MND2,4932.YIR025W
1,MOB1,MOB1,MOB1,4932.YIL106W
1,MON1,MON1,MON1,4932.YGL124C
1,MOT1,MOT1,MOT1,4932.YPL082C
1,MPS2,MPS2,MPS2,4932.YGL075C
1,MRC1,MRC1,MRC1,4932.YCL061C
1,MRE11,MRE11,MRE11,4932.YMR224C
1,MSH2,MSH2,MSH2,4932.YOL090W
1,MSH3,MSH3,MSH3,4932.YCR092C
1,MSH6,MSH6,MSH6,4932.YDR097C
1,MSI1,MSI1,MSI1,4932.YBR195C
1,MTW1,MTW1,MTW1,4932.YAL034W-A
1,MUS81,MUS81,MUS81,4932.YDR386W
1,NBP1,NBP1,NBP1,4932.YLR457C
1,NCB2,NCB2,NCB2,4932.YDR397C
1,NDC80,NDC80,TID3,4932.YIL144W
1,NET1,NET1,NET1,4932.YJL076W
1,NFS1,NFS1,NFS1,4932.YCL017C
1,NGG1,NGG1,NGG1,4932.YDR176W
1,NHP10,NHP10,NHP10,4932.YDL002C
1,NIP100,NIP100,NIP100,4932.YPL174C
1,NNF1,NNF1,NNF1,4932.YJR112W
1,NPL4,NPL4,NPL4,4932.YBR170C
1,NPL6,NPL6,NPL6,4932.YMR091C
1,NSE1,NSE1,NSE1,4932.YLR007W
1,NSE3,NSE3,NSE3,4932.YDR288W
1,NSE4,NSE4,NSE4,4932.YDL105W
1,NSE5,NSE5,NSE5,4932.YML023C
1,NSL1,NSL1,NSL1,4932.YPL233W
1,NTO1,NTO1,NTO1,4932.YPR031W
1,NUD1,NUD1,NUD1,4932.YOR373W
1,NUF2,NUF2,NUF2,4932.YOL069W
1,NUT1,NUT1,NUT1,4932.YGL151W
1,NUT2,NUT2,NUT2,4932.YPR168W
1,OKP1,OKP1,OKP1,4932.YGR179C
1,ORC1,ORC1,ORC1,4932.YML065W
1,ORC2,ORC2,ORC2,4932.YBR060C
1,ORC3,ORC3,ORC3,4932.YLL004W
1,ORC4,ORC4,ORC4,4932.YPR162C
1,ORC5,ORC5,ORC5,4932.YNL261W
1,ORC6,ORC6,ORC6,4932.YHR118C
1,PAC11,PAC11,PAC11,4932.YDR488C
1,PAF1,PAF1,PAF1,4932.YBR279W
1,PAN1,PAN1,PAN1,4932.YIR006C
1,PCL1,PCL1,PCL1,4932.YNL289W
1,PCL10,PCL10,PCL10,4932.YGL134W
1,PCL2,PCL2,PCL2,4932.YDL127W
1,PCL8,PCL8,PCL8,4932.YPL219W
1,PDS1,PDS1,PDS1,4932.YDR113C
1,PEA2,PEA2,PEA2,4932.YER149C
1,PEP3,PEP3,PEP3,4932.YLR148W
1,PEP5,PEP5,PEP5,4932.YMR231W
1,PGD1,PGD1,PGD1,4932.YGL025C
1,PHO80,PHO80,PHO80,4932.YOL001W
1,PHO85,PHO85,PHO85,4932.YPL031C
1,PMS1,PMS1,PMS1,4932.YNL082W
1,PNG1,PNG1,PNG1,4932.YPL096W
1,POB3,POB3,POB3,4932.YML069W
1,POL1,POL1,POL1,4932.YNL102W
1,POL12,POL12,POL12,4932.YBL035C
1,POL2,POL2,POL2,4932.YNL262W
1,POL3,POL3,POL3,4932.YDL102W
1,POL31,POL31,POL31,4932.YJR006W
1,POL32,POL32,POL32,4932.YJR043C
1,PPH21,PPH21,PPH21,4932.YDL134C
1,PPH3,PPH3,PPH3,4932.YDR075W
1,PRI1,PRI1,PRI1,4932.YIR008C
1,PRI2,PRI2,PRI2,4932.YKL045W
1,PSF1,PSF1,PSF1,4932.YDR013W
1,PSF2,PSF2,PSF2,4932.YJL072C
1,PSF3,PSF3,PSF3,4932.YOL146W
1,PSY2,PSY2,PSY2,4932.YNL201C
1,PSY4,PSY4,PSY4,4932.YBL046W
1,RAD1,RAD1,RAD1,4932.YPL022W
1,RAD10,RAD10,RAD10,4932.YML095C
1,RAD14,RAD14,RAD14,4932.YMR201C
1,RAD16,RAD16,RAD16,4932.YBR114W
1,RAD17,RAD17,RAD17,4932.YOR368W
1,RAD18,RAD18,RAD18,4932.YCR066W
1,RAD2,RAD2,RAD2,4932.YGR258C
1,RAD23,RAD23,RAD23,4932.YEL037C
1,RAD24,RAD24,RAD24,4932.YER173W
1,RAD26,RAD26,RAD26,4932.YJR035W
1,RAD3,RAD3,RAD3,4932.YER171W
1,RAD4,RAD4,RAD4,4932.YER162C
