node_label,queryItem,stringId,preferredName
JNM1,JNM1,4932.YMR294W,JNM1
KAR2,KAR2,4932.YJL034W,KAR2
KEL1,KEL1,4932.YHR158C,KEL1
KEL2,KEL2,4932.YGR238C,KEL2
KGD1,KGD1,4932.YIL125W,KGD1
KGD2,KGD2,4932.YDR148C,KGD2
KIC1,KIC1,4932.YHR102W,KIC1
KIN28,KIN28,4932.YDL108W,KIN28
KOG1,KOG1,4932.YHR186C,KOG1
KRE29,KRE29,4932.YER038C,KRE29
LAT1,LAT1,4932.YNL071W,LAT1
LCB1,LCB1,4932.YMR296C,LCB1
LCB2,LCB2,4932.YDR062W,LCB2
LDB7,LDB7,4932.YBL006C,LDB7
LEA1,LEA1,4932.YPL213W,LEA1
LEO1,LEO1,4932.YOR123C,LEO1
LGE1,LGE1,4932.YPL055C,LGE1
LIF1,LIF1,4932.YGL090W,LIF1
LIN1,LIN1,4932.YHR156C,LIN1
LPD1,LPD1,4932.YFL018C,LPD1
LRP1,LRP1,4932.YHR081W,LRP1
LRS4,LRS4,4932.YDR439W,LRS4
LSC1,LSC1,4932.YOR142W,LSC1
LSC2,LSC2,4932.YGR244C,LSC2
LSM2,LSM2,4932.YBL026W,LSM2
LSM3,LSM3,4932.YLR438C-A,LSM3
LSM4,LSM4,4932.YER112W,LSM4
LSM5,LSM5,4932.YER146W,LSM5
LSM6,LSM6,4932.YDR378C,LSM6
LSM7,LSM7,4932.YNL147W,LSM7
LSM8,LSM8,4932.YJR022W,LSM8
LST8,LST8,4932.YNL006W,LST8
LTE1,LTE1,4932.YAL024C,LTE1
LTV1,LTV1,4932.YKL143W,LTV1
LUC7,LUC7,4932.YDL087C,LUC7
MAD1,MAD1,4932.YGL086W,MAD1
MAD2,MAD2,4932.YJL030W,MAD2
MAD3,MAD3,4932.YJL013C,MAD3
MAK10,MAK10,4932.YEL053C,MAK10
MAK21,MAK21,4932.YDR060W,MAK21
MAK3,MAK3,4932.YPR051W,MAK3
MAK31,MAK31,4932.YCR020C-A,MAK31
MAM1,MAM1,4932.YER106W,MAM1
MAS1,MAS1,4932.YLR163C,MAS1
MAS2,MAS2,4932.YHR024C,MAS2
MBP1,MBP1,4932.YDL056W,MBP1
MCD1,MCD1,4932.YDL003W,MCD1
MCM1,MCM1,4932.YMR043W,MCM1
MCM16,MCM16,4932.YPR046W,MCM16
MCM2,MCM2,4932.YBL023C,MCM2
MCM21,MCM21,4932.YDR318W,MCM21
MCM22,MCM22,4932.YJR135C,MCM22
MCM3,MCM3,4932.YEL032W,MCM3
MCM4,MCM4,4932.YPR019W,MCM4
MCM5,MCM5,4932.YLR274W,MCM5
MCM6,MCM6,4932.YGL201C,MCM6
MCM7,MCM7,4932.YBR202W,MCM7
MDM10,MDM10,4932.YAL010C,MDM10
