node_label,queryItem,stringId,preferredName
APOB,APOB,9606.ENSP00000233242,APOB
APOBEC1,Apobec1,9606.ENSP00000229304,APOBEC1
APOE,APOE,9606.ENSP00000252486,APOE
APOL1,APOL1,9606.ENSP00000317674,APOL1
APOO,APOO,9606.ENSP00000368528,APOO
APOOL,APOOL,9606.ENSP00000362268,APOOL
APP,APP,9606.ENSP00000284981,APP
APPBP2,APPBP2,9606.ENSP00000083182,APPBP2
APPL1,APPL1,9606.ENSP00000288266,APPL1
AQP1,AQP1,9606.ENSP00000311165,AQP1
AQP2,Aqp2,9606.ENSP00000199280,AQP2
AQR,AQR,9606.ENSP00000156471,AQR
AR,AR,9606.ENSP00000363822,AR
ARAF,ARAF,9606.ENSP00000290277,ARAF
ARC,Arc,9606.ENSP00000349022,ARC
ARCN1,Arcn1,9606.ENSP00000264028,ARCN1
AREG,AREG,9606.ENSP00000379097,AREG
ARF1,ARF1,9606.ENSP00000440005,ARF1
ARF4,ARF4,9606.ENSP00000306010,ARF4
ARFGAP1,Arfgap1,9606.ENSP00000314615,ARFGAP1
ARFIP2,ARFIP2,9606.ENSP00000484121,ARFIP2
ARHGAP10,ARHGAP10,9606.ENSP00000336923,ARHGAP10
ARHGAP17,ARHGAP17,9606.ENSP00000289968,ARHGAP17
ARHGAP22,Arhgap22,9606.ENSP00000412461,ARHGAP22
ARHGAP32,Arhgap32,9606.ENSP00000310561,ARHGAP32
ARHGAP35,Arhgap35,9606.ENSP00000500409,ARHGAP35
ARHGAP8,ARHGAP8,9606.ENSP00000374424,ARHGAP8
ARHGDIB,ARHGDIB,9606.ENSP00000228945,ARHGDIB
ARHGEF1,ARHGEF1,9606.ENSP00000337261,ARHGEF1
ARHGEF16,ARHGEF16,9606.ENSP00000367629,ARHGEF16
ARHGEF18,ARHGEF18,9606.ENSP00000482647,ARHGEF18
ARHGEF2,ARHGEF2,9606.ENSP00000354837,ARHGEF2
ARHGEF25,ARHGEF25,9606.ENSP00000335560,ARHGEF25
ARHGEF28,Arhgef28,9606.ENSP00000441913,ARHGEF28
ARHGEF4,Arhgef4,9606.ENSP00000316845,ARHGEF4
ARHGEF6,ARHGEF6,9606.ENSP00000250617,ARHGEF6
ARHGEF7,ARHGEF7,9606.ENSP00000495631,ARHGEF7
ARID1A,ARID1A,9606.ENSP00000320485,ARID1A
ARID1B,ARID1B,9606.ENSP00000490491,ARID1B
ARID2,ARID2,9606.ENSP00000335044,ARID2
ARID4A,ARID4A,9606.ENSP00000347602,ARID4A
ARID4B,ARID4B,9606.ENSP00000264183,ARID4B
ARL1,ARL1,9606.ENSP00000261636,ARL1
ARL2,ARL2,9606.ENSP00000246747,ARL2
ARL3,ARL3,9606.ENSP00000260746,ARL3
ARL6,Arl6,9606.ENSP00000419619,ARL6
ARMC8,ARMC8,9606.ENSP00000419413,ARMC8
ARNT,ARNT,9606.ENSP00000351407,ARNT
ARNTL,Bmal1,9606.ENSP00000384517,ARNTL
ARPC1B,ARPC1B,9606.ENSP00000389631,ARPC1B
ARPC2,ARPC2,9606.ENSP00000295685,ARPC2
ARPC3,ARPC3,9606.ENSP00000228825,ARPC3
ARPC4,ARPC4,9606.ENSP00000388169,ARPC4
ARPC5,ARPC5,9606.ENSP00000294742,ARPC5
ARRB1,ARRB1,9606.ENSP00000409581,ARRB1
ARRB2,ARRB2,9606.ENSP00000403701,ARRB2
ARRDC3,ARRDC3,9606.ENSP00000265138,ARRDC3
ARTN,ARTN,9606.ENSP00000387435,ARTN
ASAH1,ASAH1,9606.ENSP00000371152,ASAH1
ASAP1,ASAP1,9606.ENSP00000429900,ASAP1
ASAP2,ASAP2,9606.ENSP00000281419,ASAP2
ASB1,ASB1,9606.ENSP00000264607,ASB1
ASB12,ASB12,9606.ENSP00000355195,ASB12
ASB2,ASB2,9606.ENSP00000451575,ASB2
ASB6,ASB6,9606.ENSP00000277458,ASB6
ASB7,ASB7,9606.ENSP00000328327,ASB7
ASB9,ASB9,9606.ENSP00000369855,ASB9
ASCC1,ASCC1,9606.ENSP00000339404,ASCC1
ASCC2,ASCC2,9606.ENSP00000380877,ASCC2
ASCC3,ASCC3,9606.ENSP00000358159,ASCC3
ASF1A,ASF1A,9606.ENSP00000229595,ASF1A
ASF1B,ASF1B,9606.ENSP00000263382,ASF1B
ASGR1,ASGR1,9606.ENSP00000269299,ASGR1
ASGR2,ASGR2,9606.ENSP00000347140,ASGR2
ASH2L,ASH2L,9606.ENSP00000340896,ASH2L
ASIC1,ASIC1,9606.ENSP00000228468,ASIC1
ASPH,ASPH,9606.ENSP00000368767,ASPH
ASXL1,ASXL1,9606.ENSP00000364839,ASXL1
ASXL2,ASXL2,9606.ENSP00000383920,ASXL2
ATF2,ATF2,9606.ENSP00000264110,ATF2
ATF3,ATF3,9606.ENSP00000344352,ATF3
ATF4,ATF4,9606.ENSP00000336790,ATF4
ATF7,ATF7,9606.ENSP00000399465,ATF7
ATF7IP,ATF7IP,9606.ENSP00000440440,ATF7IP
ATF7IP2,ATF7IP2,9606.ENSP00000379808,ATF7IP2
ATG101,ATG101,9606.ENSP00000338990,ATG101
ATG12,Atg12,9606.ENSP00000425107,ATG12
ATG13,ATG13,9606.ENSP00000432412,ATG13
ATG14,ATG14,9606.ENSP00000247178,ATG14
ATG16L1,ATG16L1,9606.ENSP00000375873,ATG16L1
ATG2B,ATG2B,9606.ENSP00000353010,ATG2B
ATG5,Atg5,9606.ENSP00000358072,ATG5
ATL1,ATL1,9606.ENSP00000351155,ATL1
ATL2,ATL2,9606.ENSP00000368237,ATL2
ATL3,ATL3,9606.ENSP00000381844,ATL3
ATM,ATM,9606.ENSP00000278616,ATM
ATP1A1,ATP1A1,9606.ENSP00000445306,ATP1A1
ATP1A2,ATP1A2,9606.ENSP00000354490,ATP1A2
ATP1A3,ATP1A3,9606.ENSP00000444688,ATP1A3
ATP1A4,ATP1A4,9606.ENSP00000357060,ATP1A4
ATP1B1,ATP1B1,9606.ENSP00000356790,ATP1B1
ATP1B2,ATP1B2,9606.ENSP00000250111,ATP1B2
ATP1B3,ATP1B3,9606.ENSP00000286371,ATP1B3
ATP2A1,ATP2A1,9606.ENSP00000349595,ATP2A1
ATP2A2,ATP2A2,9606.ENSP00000440045,ATP2A2
ATP2B1,Atp2b1,9606.ENSP00000392043,ATP2B1
ATP2B4,Atp2b4,9606.ENSP00000350310,ATP2B4
ATP4A,ATP4A,9606.ENSP00000262623,ATP4A
ATP4B,ATP4B,9606.ENSP00000334216,ATP4B
ATP5F1A,ATP5F1A,9606.ENSP00000381736,ATP5F1A
ATP5F1B,ATP5F1B,9606.ENSP00000262030,ATP5F1B
ATP5F1C,ATP5F1C,9606.ENSP00000349142,ATP5F1C
ATP5F1D,ATP5F1D,9606.ENSP00000215375,ATP5F1D
ATP5F1E,ATP5F1E,9606.ENSP00000243997,ATP5F1E
ATP5IF1,ATP5IF1,9606.ENSP00000335203,ATP5IF1
ATP5MC1,ATP5MC1,9606.ENSP00000377033,ATP5MC1
ATP5MC2,Atp5mc2,9606.ENSP00000499883,ATP5MC2
ATP5MC3,Atp5mc3,9606.ENSP00000284727,ATP5MC3
ATP5ME,ATP5ME,9606.ENSP00000306003,ATP5ME
ATP5MF,ATP5MF,9606.ENSP00000292475,ATP5MF
ATP5MG,ATP5MG,9606.ENSP00000300688,ATP5MG
ATP5PB,ATP5PB,9606.ENSP00000358737,ATP5PB
ATP5PD,ATP5PD,9606.ENSP00000301587,ATP5PD
ATP5PF,ATP5PF,9606.ENSP00000389649,ATP5PF
ATP5PO,ATP5PO,9606.ENSP00000290299,ATP5PO
ATP6AP1,ATP6AP1,9606.ENSP00000358777,ATP6AP1
ATP6AP2,ATP6AP2,9606.ENSP00000490083,ATP6AP2
ATP6V0A1,ATP6V0A1,9606.ENSP00000264649,ATP6V0A1
ATP6V0A4,Atp6v0a4,9606.ENSP00000308122,ATP6V0A4
ATP6V0C,ATP6V0C,9606.ENSP00000329757,ATP6V0C
ATP6V0D1,ATP6V0D1,9606.ENSP00000290949,ATP6V0D1
ATP6V0E1,ATP6V0E1,9606.ENSP00000429690,ATP6V0E1
ATP6V0E2,Atp6v0e2,9606.ENSP00000411672,ATP6V0E2
ATP6V1A,ATP6V1A,9606.ENSP00000273398,ATP6V1A
ATP6V1B1,ATP6V1B1,9606.ENSP00000234396,ATP6V1B1
ATP6V1B2,ATP6V1B2,9606.ENSP00000276390,ATP6V1B2
ATP6V1C1,ATP6V1C1,9606.ENSP00000430282,ATP6V1C1
ATP6V1D,ATP6V1D,9606.ENSP00000216442,ATP6V1D
ATP6V1E1,ATP6V1E1,9606.ENSP00000253413,ATP6V1E1
ATP6V1F,ATP6V1F,9606.ENSP00000417378,ATP6V1F
ATP6V1G1,ATP6V1G1,9606.ENSP00000363162,ATP6V1G1
ATP6V1G2,Atp6v1g2,9606.ENSP00000302194,ATP6V1G2
ATP6V1H,ATP6V1H,9606.ENSP00000352522,ATP6V1H
ATP7A,Atp7a,9606.ENSP00000345728,ATP7A
ATR,ATR,9606.ENSP00000343741,ATR
ATRIP,ATRIP,9606.ENSP00000323099,ATRIP
ATRX,ATRX,9606.ENSP00000362441,ATRX
ATXN1,ATXN1,9606.ENSP00000244769,ATXN1
ATXN3,ATXN3,9606.ENSP00000496695,ATXN3
ATXN7,ATXN7,9606.ENSP00000295900,ATXN7
ATXN7L1,ATXN7L1,9606.ENSP00000410759,ATXN7L1
ATXN7L2,ATXN7L2,9606.ENSP00000358886,ATXN7L2
ATXN7L3,ATXN7L3,9606.ENSP00000397259,ATXN7L3
AUNIP,AUNIP,9606.ENSP00000443647,AUNIP
AUP1,AUP1,9606.ENSP00000366748,AUP1
