dataset,n_nodes,n_edges,grid_index,grid_total,sim_metric,theta_sim,theta_overlap,runtime_sec,error,shen_modularity,modularity_overlap,modularity,internal_edge_density,conductance,normalized_cut,avg_transitivity,n_communities,max_community_size,coverage_ratio,uncovered_node_ratio,overlap_node_ratio,avg_memberships_per_covered_node,overlap_intensity
yeast,1613,41533,266,294,ra,0.4,0.7,7.759815454483032,,0.49818509944457073,0.49818509944457073,0.49881294136464055,0.4813720971997982,0.17476411135542408,0.18513626129919697,0.7931580345584297,10,710,1.0,0.0,0.0012399256044637321,1.0012399256044637,2.0
yeast,1613,41533,253,294,ra,0.3,0.1,6.558620452880859,,0.49689824979536584,0.49689824979536584,0.49881294136464055,0.46936454689414636,0.18485295851257383,0.19593488478040674,0.7762389651290409,10,710,1.0,0.0,0.006819590824550527,1.0068195908245505,2.0
yeast,1613,41533,254,294,ra,0.3,0.2,6.47102165222168,,0.49689824979536584,0.49689824979536584,0.49881294136464055,0.46936454689414636,0.18485295851257383,0.19593488478040674,0.7762389651290409,10,710,1.0,0.0,0.006819590824550527,1.0068195908245505,2.0
yeast,1613,41533,255,294,ra,0.3,0.3,6.424072980880737,,0.49689824979536584,0.49689824979536584,0.49881294136464055,0.46936454689414636,0.18485295851257383,0.19593488478040674,0.7762389651290409,10,710,1.0,0.0,0.006819590824550527,1.0068195908245505,2.0
yeast,1613,41533,256,294,ra,0.3,0.4,6.4818174839019775,,0.49689824979536584,0.49689824979536584,0.49881294136464055,0.46936454689414636,0.18485295851257383,0.19593488478040674,0.7762389651290409,10,710,1.0,0.0,0.006819590824550527,1.0068195908245505,2.0
yeast,1613,41533,257,294,ra,0.3,0.5,6.464786767959595,,0.49689824979536584,0.49689824979536584,0.49881294136464055,0.46936454689414636,0.18485295851257383,0.19593488478040674,0.7762389651290409,10,710,1.0,0.0,0.006819590824550527,1.0068195908245505,2.0
yeast,1613,41533,258,294,ra,0.3,0.6,6.436379432678223,,0.49689824979536584,0.49689824979536584,0.49881294136464055,0.46936454689414636,0.18485295851257383,0.19593488478040674,0.7762389651290409,10,710,1.0,0.0,0.006819590824550527,1.0068195908245505,2.0
yeast,1613,41533,259,294,ra,0.3,0.7,6.519042730331421,,0.49689824979536584,0.49689824979536584,0.49881294136464055,0.46936454689414636,0.18485295851257383,0.19593488478040674,0.7762389651290409,10,710,1.0,0.0,0.006819590824550527,1.0068195908245505,2.0
yeast,1613,41533,246,294,ra,0.2,0.1,6.769747734069824,,0.4957830225280962,0.4957830225280962,0.49881294136464055,0.4094414384622061,0.28414769074532364,0.29598548147698606,0.746752206532475,10,710,1.0,0.0,0.017978921264724116,1.0179789212647241,2.0
yeast,1613,41533,247,294,ra,0.2,0.2,6.507140159606934,,0.4957830225280962,0.4957830225280962,0.49881294136464055,0.4094414384622061,0.28414769074532364,0.29598548147698606,0.746752206532475,10,710,1.0,0.0,0.017978921264724116,1.0179789212647241,2.0
yeast,1613,41533,248,294,ra,0.2,0.3,6.551152229309082,,0.4957830225280962,0.4957830225280962,0.49881294136464055,0.4094414384622061,0.28414769074532364,0.29598548147698606,0.746752206532475,10,710,1.0,0.0,0.017978921264724116,1.0179789212647241,2.0
yeast,1613,41533,249,294,ra,0.2,0.4,6.530297040939331,,0.4957830225280962,0.4957830225280962,0.49881294136464055,0.4094414384622061,0.28414769074532364,0.29598548147698606,0.746752206532475,10,710,1.0,0.0,0.017978921264724116,1.0179789212647241,2.0
yeast,1613,41533,250,294,ra,0.2,0.5,6.4905993938446045,,0.4957830225280962,0.4957830225280962,0.49881294136464055,0.4094414384622061,0.28414769074532364,0.29598548147698606,0.746752206532475,10,710,1.0,0.0,0.017978921264724116,1.0179789212647241,2.0
yeast,1613,41533,251,294,ra,0.2,0.6,6.510092496871948,,0.4957830225280962,0.4957830225280962,0.49881294136464055,0.4094414384622061,0.28414769074532364,0.29598548147698606,0.746752206532475,10,710,1.0,0.0,0.017978921264724116,1.0179789212647241,2.0
yeast,1613,41533,252,294,ra,0.2,0.7,6.546525478363037,,0.4957830225280962,0.4957830225280962,0.49881294136464055,0.4094414384622061,0.28414769074532364,0.29598548147698606,0.746752206532475,10,710,1.0,0.0,0.017978921264724116,1.0179789212647241,2.0
yeast,1613,41533,204,294,aa,0.3,0.1,6.39537501335144,,0.495329576461271,0.495329576461271,0.49881294136464055,0.48756000990456483,0.18825921776115667,0.20048651151389127,0.7978193516302801,10,710,1.0,0.0,0.013019218846869188,1.013639181649101,2.0476190476190474
yeast,1613,41533,205,294,aa,0.3,0.2,6.429566860198975,,0.495329576461271,0.495329576461271,0.49881294136464055,0.48756000990456483,0.18825921776115667,0.20048651151389127,0.7978193516302801,10,710,1.0,0.0,0.013019218846869188,1.013639181649101,2.0476190476190474
