queryItem,stringId,ncbiTaxonId,preferredName,resolvedQuery,mappingSource,mappingPriority,node_label
COX8,4932.YLR395C,4932,COX8,COX8,direct_string,1,COX8
COX9,4932.YDL067C,4932,COX9,COX9,direct_string,1,COX9
CPA1,4932.YOR303W,4932,CPA1,CPA1,direct_string,1,CPA1
CPA2,4932.YJR109C,4932,CPA2,CPA2,direct_string,1,CPA2
CPR1,4932.YDR155C,4932,CPR1,CPR1,direct_string,1,CPR1
CSE2,4932.YNR010W,4932,CSE2,CSE2,direct_string,1,CSE2
CSG2,4932.YBR036C,4932,CSG2,CSG2,direct_string,1,CSG2
CSH1,4932.YBR161W,4932,CSH1,CSH1,direct_string,1,CSH1
CSI1,4932.YMR025W,4932,CSI1,CSI1,direct_string,1,CSI1
CSL4,4932.YNL232W,4932,CSL4,CSL4,direct_string,1,CSL4
CSM1,4932.YCR086W,4932,CSM1,CSM1,direct_string,1,CSM1
CSM3,4932.YMR048W,4932,CSM3,CSM3,direct_string,1,CSM3
CSN9,4932.YDR179C,4932,CSN9,CSN9,direct_string,1,CSN9
CTF13,4932.YMR094W,4932,CTF13,CTF13,direct_string,1,CTF13
CTF18,4932.YMR078C,4932,CTF18,CTF18,direct_string,1,CTF18
CTF19,4932.YPL018W,4932,CTF19,CTF19,direct_string,1,CTF19
CTF3,4932.YLR381W,4932,CTF3,CTF3,direct_string,1,CTF3
CTF8,4932.YHR191C,4932,CTF8,CTF8,direct_string,1,CTF8
CTI6,4932.YPL181W,4932,CTI6,CTI6,direct_string,1,CTI6
CTK1,4932.YKL139W,4932,CTK1,CTK1,direct_string,1,CTK1
CTK2,4932.YJL006C,4932,CTK2,CTK2,direct_string,1,CTK2
CTK3,4932.YML112W,4932,CTK3,CTK3,direct_string,1,CTK3
CTR9,4932.YOL145C,4932,CTR9,CTR9,direct_string,1,CTR9
CUL3,4932.YGR003W,4932,CUL3,CUL3,direct_string,1,CUL3
CUS1,4932.YMR240C,4932,CUS1,CUS1,direct_string,1,CUS1
CUS2,4932.YNL286W,4932,CUS2,CUS2,direct_string,1,CUS2
CYC8,4932.YBR112C,4932,CYC8,CYC8,direct_string,1,CYC8
CYR1,4932.YJL005W,4932,CYR1,CYR1,direct_string,1,CYR1
CYT1,4932.YOR065W,4932,CYT1,CYT1,direct_string,1,CYT1
DAD1,4932.YDR016C,4932,DAD1,DAD1,direct_string,1,DAD1
DAD2,4932.YKR083C,4932,DAD2,DAD2,direct_string,1,DAD2
DAD3,4932.YBR233W-A,4932,DAD3,DAD3,direct_string,1,DAD3
DAD4,4932.YDR320C-A,4932,DAD4,DAD4,direct_string,1,DAD4
DAM1,4932.YGR113W,4932,DAM1,DAM1,direct_string,1,DAM1
DBF2,4932.YGR092W,4932,DBF2,DBF2,direct_string,1,DBF2
DBF4,4932.YDR052C,4932,DBF4,DBF4,direct_string,1,DBF4
DBP6,4932.YNR038W,4932,DBP6,DBP6,direct_string,1,DBP6
DCC1,4932.YCL016C,4932,DCC1,DCC1,direct_string,1,DCC1
DCP1,4932.YOL149W,4932,DCP1,DCP1,direct_string,1,DCP1
DCP2,4932.YNL118C,4932,DCP2,DCP2,direct_string,1,DCP2
DCS1,4932.YLR270W,4932,DCS1,DCS1,direct_string,1,DCS1
DCS2,4932.YOR173W,4932,DCS2,DCS2,direct_string,1,DCS2
DDC1,4932.YPL194W,4932,DDC1,DDC1,direct_string,1,DDC1
DEF1,4932.YKL054C,4932,DEF1,DEF1,direct_string,1,DEF1
DEP1,4932.YAL013W,4932,DEP1,DEP1,direct_string,1,DEP1
DER1,4932.YBR201W,4932,DER1,DER1,direct_string,1,DER1
DIB1,4932.YPR082C,4932,DIB1,DIB1,direct_string,1,DIB1
DID4,4932.YKL002W,4932,DID4,DID4,direct_string,1,DID4
DIG1,4932.YPL049C,4932,DIG1,DIG1,direct_string,1,DIG1
DIG2,4932.YDR480W,4932,DIG2,DIG2,direct_string,1,DIG2
DIP2,4932.YLR129W,4932,DIP2,DIP2,direct_string,1,DIP2
DIS3,4932.YOL021C,4932,DIS3,DIS3,direct_string,1,DIS3
DLS1,4932.YJL065C,4932,DLS1,DLS1,direct_string,1,DLS1
DNL4,4932.YOR005C,4932,DNL4,DNL4,direct_string,1,DNL4
DOC1,4932.YGL240W,4932,DOC1,DOC1,direct_string,1,DOC1
DOP1,4932.YDR141C,4932,DOP1,DOP1,direct_string,1,DOP1
DPB11,4932.YJL090C,4932,DPB11,DPB11,direct_string,1,DPB11
DPB2,4932.YPR175W,4932,DPB2,DPB2,direct_string,1,DPB2
DPB3,4932.YBR278W,4932,DPB3,DPB3,direct_string,1,DPB3
DPB4,4932.YDR121W,4932,DPB4,DPB4,direct_string,1,DPB4
